Africa    n.非洲
grandson    n.孙子，外孙子
grant    n.授予物，拨款
grant-in-aid    n.财政补贴
grape    n.葡萄；葡萄藤
graph    n.(曲线)图，图表
grasp    vt.抓紧；掌握
grass    n.草；牧草；草地
grateful    a.可喜的，令人愉快的
gratitude    a.感激，感谢，感恩
grave    n.坟墓
gravity    n.重力，引力；严重性
gravy    n.肉汁；肉汤 n.外快
gray    a.灰色的
great    a.大的；伟大的
greedy    a.贪吃的；贪婪的
green    a.绿色的
greenback    n.美钞
greenhouse    n.温室，玻璃暖房
greet    vt.问候，招呼；反应
greeting    n.问候，招呼，致敬
grey    a.灰色的
grief    n.悲哀，悲痛，悲伤
grieve    vt.使悲痛
grip    vt.握紧，抓牢
grocer    n.食品商；杂货商
grocery    n.食品杂货店
gross    a.(语言、举止)粗俗的
ground    n.地；场地；根据
group    n.小组，群
grow    vi.生长；变得；增长
grown-up    adj.成人的 n.成年人
growth    n.增长；增长量；生长
guarantee    n.保证；担保物
guard    vt.守卫；看守
guess    vt.&vi.&n.猜测，推测
guest    n.客人，宾客；旅客
guidance    n.引导，指导，领导
guide    n.导游者
guilty    a.内疚的；有罪的
gulf    n.海湾
gum    n.口香糖；树胶
gun    n.枪，炮，手枪
gymnasium    n.体育馆，健身房
habit    n.习惯；习性
haggle    vi.争论；讨价还价 vt.乱砍 n.讨价还价；争论
hair    n.头发，毛发；毛
haircut    n.理发
half    n.半，一半
half-time    adj.中场休息的；半工制的 n.中场休息
hall    n.门厅；过道；会堂
halt    vi.停止；立定
hamburger    n.汉堡包，牛肉饼
hammer    n.锤，榔头
hand    n.手；人手；指针
handbag    n.手提包
handbook    n.手册，便览，指南
handful    n.一把；少数，一小撮
handkerchief    n.手帕
handle    n.柄，把手
handsome    a.英俊的；相当大的
handwriting    n.笔迹，手迹，书法
handy    a.方便的；便于使用的
hang    vt.挂，悬；吊死
happen    vi.发生；碰巧，恰好
happiness    n.幸福，幸运；快乐
happy    a.快乐的；幸福的
harbor    n.海港；避难所 vt.庇护；心怀；窝藏 vi.生存；进入避祸所
harbour    vt.隐匿，窝藏；怀着
hard    a.(酒)烈性的
hardly    ad.几乎不，简直不
hardship    n.艰难，困苦
hardware    n.五金器具；硬件
hare    n.野兔
harm    n.伤害，损害
harmful    a.有害的
harmless    adj.无害的；无恶意的
harmony    n.调合，协调，和谐
harvest    n.收获，收成
haste    n.急速，急忙；草率
hasten    vt.催促
hat    n.帽子(一般指有边的)
hatch    vt.舱盖，舱口；短门
hate    vt.恨，憎恨；不喜欢
hateful    a.可恨的，可恶的
hatred    n.憎恶，憎恨，仇恨
have    v.aux.已经
hawk    n.鹰，隼
hay    n.干草
hazard    vt.使遭危险
he    pron.(主格)他
head    vt.用头顶(球)vi.出发
headache    n.头痛；头痛的事
heading    n.标题，题词，题名
headline    n.大字标题；新闻提要
headmaster    n.校长
headquarters    n.总局，总店
heal    vt.治愈；使和解
health    n.健康，健康状况
healthy    a.健康的；有益健康的
heap    n.(一)堆；大量
hear    vt.听见；审讯；听说
heart    n.心，内心；勇气
heat    n.热，炎热
heating    n.加热，供暖
heaven    n.天堂；天，天空
heavily    ad.重重地；大量地
heavy    a.重的；大的；充满的
heel    n.脚后跟，踵，后跟
height    n.高，高度；高处
heighten    vt.加高，提高；增加
helicopter    n.直升机
hell    n.地狱；极大的痛苦
hello    int.喂
help    vt.帮助；援助
helper    n.助手；帮手
helpful    a.给予帮助的；有用的
helpless    a.无助的；无能的
hen    n.母鸡，雌禽
hence    ad.因此，所以；今后
her    pron.(宾格)她；她的
herd    vt.放牧
here    ad.这里；向这里
hero    n.男主角；英雄；勇士
heroic    a.英雄的；英勇的
heroine    n.女主角；女英雄
hers    pron.她的(所有物)
herself    pron.她自己；她亲自
hesitate    vi.含糊，支吾；口吃
hide    n.生皮，兽皮，皮革
high    a.高的；高级的
highway    n.公路；大路
hill    n.小山，山岗；丘陵
hillside    n.(小山)山腰，山坡
him    pron.(宾格)他
himself    pron.他自己；他亲自
hinder    v.阻碍；打扰 adj.后面的
hint    n.暗示，示意；建议
hire    vt.租借
his    pron.他的，他的东西
historic    a.历史的；历史性的
historical    a.历史的，有关历史的
history    n.历史；个人经历
hit    n.轰动一时的人(或事)
hobby    n.业余爱好，癖好
hoe    vt.&vi.锄地
hold    vt.拿住；掌握；拥有
hole    n.洞；孔眼，裂开处
holiday    n.假日，节日；假期
hollow    vt.凿空
home    n.家；家乡
homeless    adj.无家可归的
homesick    adj.想家的，思乡的
hometown    n.家乡；故乡
homework    n.家庭作业
honest    a.诚实的；可敬的
honesty    n.诚实，正直
honey    n.蜜，蜂蜜；甜，甜蜜
honeymoon    n.蜜月
honor    n.荣誉；荣幸；尊敬；信用；正直；贞洁 vt.尊敬；使荣幸；对...表示敬意；兑现
honorable    adj.光荣的；可敬的；体面的
honour    n.光荣；尊敬，敬意
honourable    a.诚实的；光荣的
hook    vt.用钩连接，用钩挂
hope    n.&vt.&vi.希望
hopeful    a.有希望的
hopeless    a.没有希望的，绝望的
horizon    n.层位
horizontal    a.地平的；水平的
horn    n.角状物，角制品
horrible    adj.可怕的；令人毛骨悚然的；令人讨厌的
horror    n.恐怖；战栗；憎恶
horse    n.马；马科动物
horsepower    n.马力
hospital    n.医院
hospitality    n.好客，殷勤；宜人
host    n.主人；东道主
hostess    n.女主人；旅馆女老板
hostile    a.敌对的；不友好的
hot    a.热的；刺激的；辣的
hotel    n.旅馆
hour    n.小时；时间，时刻
house    n.议院，会议厅
household    n.家庭，户；家务
housewife    n.家庭主妇
housework    n.家务劳动
housing    n.房屋；外壳；外套；外罩；住宅；卡箍；遮盖物；(芯片的)封装
hover    vi.徘徊；傍徨；翱翔
how    ad.怎么；怎样；多少
however    ad.然而；不管怎样
huckster    n.小商人；叫卖的小贩；商业广告员 v.贩卖；叫卖；强行推销
huge    a.巨大的，庞大的
human    a.人的，人类的
humble    a.谦逊的；地位低下的
humor    n.幽默；诙谐；心情 vt.迁就；顺应
humorous    a.富于幽默的，诙谐的
humour    n.幽默，诙谐，幽默感
hundred    num.百，百个
hunger    n.饿，饥饿；渴望
hungry    a.饥饿的；渴望的
hunt    n.打猎；搜寻
hunter    n.猎人；猎犬；猎马；搜寻者 n.Hunter.
hurry    vi.赶紧
hurt    n.损伤，伤害，创伤
husband    n.丈夫
hut    n.小屋，棚屋
hydrogen    n.氢
hyperinflation    n.恶性通货膨胀
hypermarket    n.特大超级商场
hypothecation    n.抵押；担保契约
i.e.    (=that
ice    vt.使成冰
ice-cream    n.冰淇淋
idea    n.想法；思想；意见
ideal    a.理想的；观念的
identify    vt.认出，识别，鉴定
idiom    n.习语，成语
idle    a.空闲的；懒散的
if    conj.假如，如果
ignorant    a.不知道的；无知的
ignore    vt.不顾，不理，忽视
ill    a.有病的；坏的
illegal    a.不合法的，非法的
illicit    adj.非法的；违禁的；不正当的
illiterate    a.文盲的
illness    n.病，疾病
illustrate    vt.(用图等)说明
illustration    n.说明，图解；例证
image    n.像；形象；映象
imagination    n.想象；想象力；空想
imagine    vt.想象，设想；料想
immediate    a.立即的；直接的
immediately    ad.立即；直接地
immense    a.巨大的；极好的
immigrant    n.移民
immunity    n.免疫；免疫性；免除；豁免
impact    n.影响，作用；冲击
impatience    n.不耐烦；急迫
impatient    a.不耐烦的，急躁的
imperialism    n.帝国主义
implication    n.含义，暗示，暗指
imply    vt.暗示，意指
import    vt.&n.输入，进口
importance    n.重要；重要性
important    a.重要的；有势力的
impose    vi.利用；欺骗
impossible    a.不可能的，办不到的
impost    n.税；关税；拱墩 v.分类估税
impress    vt.盖印，在…打记号
impression    n.印；印象；印记
impressive    a.给人印象深刻的
improve    vt.使更好
improvement    n.改进，改善；改进处
in    prep.在…里ad.进，入
inability    n.无能；无力
incentive    adj.刺激的；鼓励的 n.刺激；鼓励；动机
inch    n.英寸
incident    n.发生的事；事件
include    vt.包括，包含
inclusion    n.包含
income    n.收入；收益；进款
incomplete    a.不完全的，未完成的
incorporation    n.包含；合并；组成公司
incorrect    a.不正确的，错误的
increase    vt.&vi.&n.增加
increment    n.增量；增加；增值；增额
indebted    adj.受惠的；负债的
indeed    ad.真正地；确实
indent    n.订货单 n.凹痕 v.切割成锯齿状；缩排；定货
indentor    n.国外订货商
independence    n.独立，自主，自立
independent    a.独立的；自主的
index    n.索引；指数；指标
indicate    vt.标示，表示；表明
indication    n.指示；表示；表明
indignant    a.愤慨的，义愤的
indirect    a.间接的；不坦率的
indispensable    a.必不可少的，必需的
individual    a.特殊的
indoors    ad.在室内，在屋里
indulgence    n.沉溺 放纵 嗜好
industrial    a.工业的；产业的
industrialist    n.工业家；实业家
industrialize    vt.使工业化
industrious    a.勤劳的，勤奋的
industry    n.工业，产业；勤劳
inefficient    a.效率低的，无能的
inevitable    a.不可避免的，必然的
inexpensive    a.花费不多的，廉价的
infamous    adj.无耻的；臭名昭著的
infant    n.婴儿
infect    vt.使受影响
infection    n.传染；传染病；影响
infer    vt.&vi.猜想，臆测
inferior    n.下级；晚辈，次品
inflate    vt.使膨胀；使得意；使通货膨胀 vi.膨胀
inflatee    n.通货膨胀受害人
inflation    n.通货膨胀，物价飞涨
influence    n.势力，权势
influential    a.有影响的；有权势的
inform    vt.通知，向…报告
information    n.消息，信息；通知
inhabit    vt.居住于，栖息于
inhabitant    n.居民，住户
inherit    vt.继承(传统等)
initial    a.词首的
injection    n.注射，注入；充满
injure    vt.伤害，损害，损伤
ink    n.墨水，油墨
inn    n.小旅店；小酒店
inner    a.内部的；内心的
innocent    a.清白的，幼稚的
innovation    n.创新，改革，新设施
input    vt.输入
inquire    vt.打听，询问；调查
inquiry    n.询问，打听；调查
inscribing    n.题字；雕刻；注册；登记；买或卖股票
inscription    n.题字；碑铭；铭文
insect    n.昆虫，虫
insert    vi.(肌肉)附着
inside    prep.在…里面
insist    vi.坚持；坚持要求
inspect    vt.检查，审查；检阅
inspection    n.检查，审查；检阅
inspire    vt.鼓舞；给…以灵感
install    vt.安装，设置
installation    n.安装；装置；设施
installment    n.分期付款
instance    n.例子，实例，事例
instant    n.瞬间
instead    ad.代替，顶替；反而
instinct    n.本能；直觉；生性
institute    n.研究所；学院
institution    n.协会；制度，习俗
instruct    vt.教；指示；通知
instruction    n.命令；教学；教训
instrument    n.仪器；工具；乐器
insufficient    a.不足的；不适当的
insult    vt.&n.侮辱，凌辱
insurance    n.保险；保险费
insure    vt.给…保险；确保
integrate    vt.使结合，使并入
intellectual    n.知识分子
intelligence    n.智力；理解力；情报
intelligent    a.聪明的；理智的
intend    vt.想要，打算；意指
intense    a.强烈的；紧张的
intensity    n.强烈，剧烈；强度
intention    n.意图，意向，目的
interaction    n.相互作用；干扰
interest    n.兴趣；利益；利息
interest-free    adj.无息的；免息的
interested    adj.感兴趣的；有利害关系的
interesting    a.有趣的，引人入胜的
interfere    vi.干涉，干预；妨碍
interference    n.干涉，干预；阻碍
intermediary    n.仲裁者；调解者；中介 adj.中间的；媒介的
intermediate    n.中间体；调解人
internal    a.内的；国内的
international    a.国际的，世界(性)的
interpol    abbr.国际刑事警察组织(=International Criminal Police Organization)
interpret    vt.解释
interpretation    n.解释；口译
interpreter    n.译员，口译者
interrupt    vt.打断，打扰；中止
interval    n.间隔；休息；间距
interview    vt.接见，会见，会谈
into    prep.进，入；进入到
introduce    vt.提出(议案等)
introduction    n.介绍；引进；引言
invade    vt.入侵，侵略；侵袭
invalid    n.病人
invent    vt.发明，创造；捏造
invention    n.发明，创造；捏造
inventor    n.发明者；发明家
inventory    n.详细目录；存货(清单) vt.编制(详细目录)
invest    vt.投资；投入
investee    n.接受投资者
investigate    vt.&vi.调查
investigation    n.调查，调查研究
investment    n.投资，投资额，投入
investor    n.投资者
invisible    a.看不见的，无形的
invitation    n.邀请，招待；请柬
invite    vt.邀请，聘请；招待
invoice    n.发票，发货清单
involve    vt.使卷入；牵涉
inward    a.里面的
iron    n.铁；烙铁
irregular    a.不规则的；不整齐的
island    n.岛，岛屿
isolate    vt.使隔离，使孤立
issue    n.问题；发行
it    pron.这，那，它
italic    adj.斜体的 n.斜体
item    n.条，条款；一条
its    pron.它的
itself    pron.它自己；自身
jacket    n.短上衣，茄克衫
jail    n.监狱
jam    n.堵塞
jar    n.罐子，坛子，广口瓶
jaw    n.颌，颚
jazz    n.爵士音乐，爵士舞曲
jealous    a.妒忌的；猜疑的
jeep    n.吉普车
jet    n.喷气式飞机；喷嘴
jewel    n.宝石；宝石饰物
job    n.职业；工作；零活
job-hop    vi.经常换职业
jobber    n.做零活者；批发商；股票经纪人
jobholder    n.有固定工作者；公务人员
join    vt.参加；连接
joint    n.接头，接缝；关节
joke    n.笑话
journal    n.日报，杂志；日志
journalist    n.记者，新闻工作者
journey    n.旅行，旅程
joy    n.欢乐，喜悦；乐事
joyful    a.十分喜悦的，快乐的
judge    n.法官；裁判员
judgement    n.意见；审判；判断
judgment    n.裁判；判断；判断力；意见；判决书
juice    n.(水果等)汁，液
jump    vi.跳；暴涨
junior    n.年少者；晚辈
junk    n.垃圾；废旧杂物；中国平底帆船 vt.丢弃
just    ad.刚才；只是；正好
justice    n.正义，公正；司法
justify    vt.证明…是正当的
keen    a.热心的；激烈的
keep    vi.保持；坚持
keeper    n.看护人；饲养员
kettle    n.水壶，水锅
key    n.钥匙；键；答案
keyboard    n.键盘
kick    vi.&vt.&n.踢
kickback    n. 强烈的反应 n. <美俚>佣金； 回扣
kid    n.小孩，儿童，少年
kidney    n.肾，腰子；性格
kill    vi.杀死；扼杀；消磨
killing    n.谋杀；杀戮 adj.使人疲乏的；迷人的
kilogram    n.千克，公斤
kilogramme    n.千克；公斤
kilometer    n.千米，公里
kilometre    n.公里；千米
kind    a.友好的；和蔼的
kind-hearted    adj.仁慈的；好心肠的
kindness    n.仁慈，好意
king    n.国王，君主
kingdom    n.王国；领域，界
kiss    vt.吻
kitchen    n.厨房，灶间
kite    n.风筝
kite-flyer    n.放风筝的人；试探舆论反应者；开空头支票者
knee    n.膝，膝盖，膝关节
kneel    vi.跪，跪下，跪着
knife    n.小刀，刀，餐刀
knob    n.门把，拉手；旋纽
knock    vi.&vt.&n.敲，击，打
knocker    n.敲击者；敲门者；门环；挑剔的人
know    vt.知道；认识；通晓
know-how    n. <口> 实践知识； 技术秘诀； 诀窍
knowledge    n.知识，学识；知道
known    adj.已知的；有名的
label    n.标签；标记，符号
labor    n.工人；劳工；工作；分娩；劳力 v.苦干；劳动；致力于；过分详尽阐述 adj.劳工的；劳动的
laboratory    n.实验室，研究室
labour    n.劳动；工作；劳工
lace    vi.系带，用带子束紧
lack    vi.&vi.&n.缺乏，不足
ladder    n.梯子，梯状物
lady    n.女士，夫人；贵妇人
lag    vi.走得慢
lake    n.湖
lamb    n.羔羊，小羊；羔羊肉
lamp    n.灯
land    n.陆地；土地
landlady    n.女房东；女地主
landlord    n.地主；房东，店主
landscape    n.风景，景色，景致
lane    n.(乡间)小路；跑道
language    n.语言，语言课程
lantern    n.提灯，灯笼
large    a.大的；巨大的
laser    n.激光
last    vi.持续，持久；耐久
late    a.去世不久的
lately    ad.最近，不久前
later    ad.后来；过一会儿
latter    a.(两者中)后者的
laugh    vi.笑，发笑
laughter    n.笑，笑声
launch    vt.发射，投射；发动
laundry    n.送洗衣店去洗的东西
lavatory    n.盥洗室，厕所
law    n.法律，法令；法则
lawful    adj.法律许可的；守法的；合法的
lawn    n.草地，草坪，草场
lawyer    n.律师；法学家
lay    vt.置放；铺设；设置
layoff    n.临时解雇；操作停止；活动停止期间
layout    n.布局，安排，设计
lazy    a.懒惰的，懒散的
lead    n.铅，铅制品
leader    n.领袖，领导人；首领
leadership    n.领导
leading    a.指导的；最主要的
leaf    n.叶，叶子
league    n.同盟，联盟；联合会
leak    vi.漏；泄露
lean    vi.倾斜，屈身；靠
leap    vi.跳，跃
learn    vi.&vt.学，学习
learned    a.有学问的；学术上的
learning    n.学习；学问，知识
lease    n.租约，契约，租契
leasehold    n.租赁；租约；租赁期；租赁权
leaseholder    n.租赁人；承租人
leaser    n.出租人
least    a.最少的
leather    n.皮革；皮革制品
leave    vi.离去
lecture    n.&vi.演讲，讲课
left    a.左边的
leg    n.腿，腿部
legal    a.法律的；合法的
legend    n.传说，传奇
leisure    n.空闲时间；悠闲
lend    vt.把…借给，贷(款)
length    n.程度，范围
lens    n.透镜，镜片；镜头
less    a.更少的
lessen    vt.减少
lesson    n.功课，课；课程
lest    conj.惟恐，以免
let    vt.允许，让；使
letter    n.信；证书；字母
level    n.水平面
lever    n.途径，工具，手段
levy    n.征税；召集 vt.征收；发动 vi.强收
liable    a.有(法律)责任的
liar    n.说谎的人
liberal    a.心胸宽大的；慷慨的
liberate    vt.解放；释放
liberation    n.解放
liberty    n.自由；释放；许可
librarian    n.图书馆馆长
library    n.图书馆；藏书
licence    n.执照；许可；特许；自由；放纵 vt.同意；许可
license    n.许可；执照
lid    n.盖子，盖，囊盖
lie    vi.说谎，欺骗
life    n.生命；一生；寿命
lifetime    n.一生，终身
lift    vt.提起，提高
light    a.轻的，少量的
light-year    n.光年
lighter    n.打火机，引燃器
lightning    n.闪电，闪电放电
like    prep.像，如；像要
likely    a.可能的
likewise    ad.同样地；也，又
limb    n.分支，突出物
lime    n.石灰
limit    n.限度；限制；范围
limitation    n.限制；限度，局限
limited    a.有限的
limitless    adj.无限的；无界限的
line    vt.加衬里于
liner    n.班船，定期班机
link    vt.有环连接
lion    n.狮子；勇猛的人
lip    n.嘴唇
liquid    n.液体
liquor    n.酒；溶液，液剂
list    n.表，目录
listen    vi.听，留神听；听从
listener    n.听者，听众之一
liter    n.升(容量单位)
literary    a.精通文学的
literature    n.文学；文献
litre    n.公升
little    a.小的；少；幼小的
live    vi.居住；活
lively    a.活泼的；逼真的
liver    n.肝；肝脏
living    a.活的
living-room    n.起居室
load    vt.装；装满
loaf    n.一条面包，一个面包
loan    n.贷款；暂借
loanee    n.债务人
loaner    n.债权人
local    a.地方的；局部的
locate    vt.探明，找出，查出
location    n.定位，测位；测量
lock    n.锁
loco    adj.<俚>发疯的；按所记音调的 n.疯草；疯草病 v.使精神错乱 adv.按所记音调
log    n.航海日志；飞行日志
logic    n.逻辑，推理；逻辑性
logical    a.逻辑的；符合逻辑的
lonely    a.孤独的；荒凉的
long    vi.渴望，极想念
look    vi.看，显得
loose    a.松的；宽松的
loosen    vi.变松
lord    n.贵族；上帝，基督
lorry    n.运货汽车，卡车
lose    vt.失去；迷失；输掉
loss    n.遗失；损失；失败
lot    n.许多，大量；签，阄
loud    a.响亮的；吵闹的
loudspeaker    n.扬声器，喇叭
love    vt.爱，喜欢
lovely    a.可爱的；令人愉快的
lover    n.爱好者；情人；情侣
low    a.低的，矮的；低下的
lower    a.较低的
loyal    a.忠诚的，忠心的
loyalty    n.忠诚，忠心
luck    n.运气；好运，幸运
lucky    a.幸运的；吉祥的
luggage    n.行李；皮箱，皮包
lunar    a.月亮的
lunch    n.午餐，(美)便餐
lung    n.肺脏，肺
luxurious    a.爱好奢侈的，豪华的
luxury    n.奢侈，奢华；奢侈品
machine    n.机器；机械
machinery    n.机械；(总称)机器
macroeconomics    n.宏观经济学
mad    a.发疯的；恼火的
madam    n.夫人，女士，太太
magazine    n.杂志，期刊
magic    n.魔法，巫术；戏法
magnet    n.有吸引力的人(或物)
magnetic    a.磁的，有吸引力的
magnificent    n.壮丽的；华丽的
mail    n.邮件
main    n.总管道，干线
mainland    n.大陆
maintain    vt.维持；赡养；维修
maintenance    n.扶养；坚持
major    a.较大的
majority    n.多数，大多数
make    vt.使；做，制造
male    a.男的，雄的
man    n.男人；人；人类
man-made    adj.人造的；人为的
manage    vt.管理；设法；对付
management    n.管理；经营，处理
manager    n.经理，管理人
manipulate    vt.操作；控制，手持
mankind    n.人类
manly    a.男子气概的，果断的
manner    n.方式；态度；礼貌
manpower    n.人力 n.Manpower.
manual    a.体力的
manufacture    vt.制造
manufacturer    n.制造商；制造厂
many    a.许多的
map    n.地图；图；天体图
marble    n.大理石
margin    n.余地；幅度；赚头
marine    a.海的；海上的
mark    n.斑点；记号
markdown    n.标价商品价格；减价
marked    adj.有记号的；显著的；受监视的 v.弄污；打分；留意；做标记（动词mark的过去式和过去分词）
market    vt.(在市场上)销售
marketing    n.市场营销；行销
markup    n.涨价；成本加价率；标记 n.（美）议案的审订
marriage    n.结婚，婚姻；婚礼
married    a.已婚的；婚姻的
marry    vt.娶，嫁
marvellous    adj.惊奇的；非凡的；绝妙的
marvelous    a.奇迹般的；了不起的
mask    n.面具；伪装
mass    n.众多；团；群众
master    n.主人；能手；硕士
masterpiece    n.杰作，名著
match    n.(一根)火柴
mate    n.伙伴，同事；配偶
material    n.材料；素材a.物质的
materialism    n.唯物主义
mathematics    n.数学
maths    n.(英)数学
matter    n.事情；物质
mature    vt.使成熟
maturity    n.成熟；(支票等的)到期
maximum    n.最大量
maybe    ad.大概，或许；也许
mayor    n.市长
me    pron.(宾格)我
meadow    n.草地，牧草地
meal    n.膳食，一餐
mean    a.平均的
meaning    n.意义，意思；意图
meaningful    adj.意味深长的；有意义的
meaningless    adj.无意义的；不重要的；晦涩的
means    n.方法，手段，工具
meantime    n.其时，其间
meanwhile    ad.同时，当时
measure    vt.量，测量
measurement    n.(量得的)尺寸，大小
meat    n.肉
mechanic    n.技工，机械，机修工
mechanical    a.机械的；力学的
mechanics    n.力学，机械学；结构
mechanize    vt.使机械化；用机械操作
medal    n.奖章，勋章，纪念章
mediator    n.调解人；介质
medical    a.医学的；内科的
medicine    n.内服药；医学
medium    n.媒质；中间a.中等的
meet    vt.遇见
meeting    n.聚集，会合，会见
melon    n.瓜，甜瓜
melt    vi.融化
member    n.成员，会员
memorial    a.纪念的；记忆的
memory    n.记忆；回忆；存储
mend    vt.改正，修正；改进
mental    a.智力的；精神的
mention    vt.&n.提及，说起
menu    n.菜单；饭菜，菜肴
merchandise    n.商品，货物
merchant    n.商人；零售商
mercy    n.仁慈，慈悲，恩惠
mere    a.仅仅的；纯粹的
merge    v.合并；融合；兼并
merger    n.(企业等的)合并 v.(两个或以上公司的)合并
merit    vt.值得vi.应受赏(罚)
merry    a.欢乐的，愉快的
mess    vt.弄脏，弄乱，搞糟
message    n.启示，要旨，教训
messenger    n.送信者，信使
metal    n.金属，金属制品
meter    n.计量器，计，表
method    n.方法，办法；教学法
microcomputer    n.微型计算机，微机
microeconomics    n.微观经济学
microphone    n.话筒，麦克风
microscope    n.显微镜
midday    n.正午，中午
middle    n.中部
midnight    n.午夜，子夜，夜半
might    n.力量，威力，能力
mild    a.(烟、酒)味淡的
mile    n.英里
military    a.军事的；军人的
militia    n.民兵组织；义勇军；国民军
milk    n.乳，牛奶
mill    n.磨坊；制造厂
millimeter    n.毫米
millimetre    n.毫米
million    num.百万
mind    n.头脑；理智；记忆
mine    n.矿，矿山；地雷
miner    n.矿工
mineral    n.矿物
mini-computer    n.微型计算机
minimum    n.最小量
minister    n.部长，大臣；公使
ministry    n.(政府的)部
minor    a.较小的；较次要的
minority    n.少数；少数民族
minus    a.负的
minute    a.微细的；详细的
miracle    n.奇迹，令人惊奇的人
mirror    n.反映，借鉴
miserable    a.痛苦的，悲惨的
misfortune    n.不幸，灾祸，灾难
mislead    vt.使误入岐途
mismanage    vt. 处置失当； 对 ... 管理不善
miss    vt.未看到；惦念
missile    n.发射物；导弹
missing    a.缺掉的，失去的
mission    n.使命，任务；使团
mist    n.薄雾
mistake    n.错误
mistress    n.情妇，情人
misunderstand    vt.误解，误会，曲解
misuse    vt.误用；滥用 n.误用；滥用
mix    vt.使混合，混淆
mixture    n.混合；混合物
mobile    a.运动的；流动的
mode    n.方式，样式
model    n.模型；模式；模特儿
modern    a.现代的，近代的
modernization    n.现代化
modernize    v.(使) 现代化
modest    a.有节制的；谦虚的
modify    vt.更改，修改；修饰
moist    a.湿润的；多雨的
moisture    n.潮湿，湿气；温度
mold    n.模式；类型；模子；模型；真菌；软土 vt.形成；制模；发霉 vi.发霉；符合形状
molecule    n.分子，克分子
moment    n.片刻，瞬间，时刻
money    n.货币；金钱，财富
monitor    n.班长；监视器
monkey    n.猴子，猿
monopoly    n.垄断，独占，专利
month    n.月，月份
monthly    a.每月的
monument    n.纪念碑；纪念馆
mood    n.心情，情绪；语气
moon    n.月球，月亮；卫星
moonlight    n.月光 v.兼职 adj.夜间的
moonlighting    n.夜间活动；(尤指在夜间)从事第二职业
moral    a.道德的；合乎道德的
more    a.更多的
moreover    ad.再者，加之，此外
morning    n.早晨，上午
mortgage    n.抵押
mosquito    n.蚊子
most    a.最多的
most-favored-nation    adj.最惠国的 n.最惠国
mostly    ad.主要的，大部分
mother    n.母亲，妈妈
motion    n.运动；手势；提议
motive    a.发动的，运动的
motor    n.发动机；机动车
mould    n.模子，模型
mount    v.装配；固定
mountain    n.山，山岳；山脉
mourn    vi.哀痛，哀悼
mouse    n.鼠，耗子
mouth    n.嘴，口，口腔
mouthful    n.满口，一口，少量
move    n.行动，步骤
movement    n.动作，活动；移动
movies    n.电影；电影业；电影院
much    ad.非常，很
mud    n.软泥，泥浆
multinational    adj.多国的；多种国籍的 n.跨国公司
multiple    a.复合的；并联的
multiples    n.倍数；跨国公司，连锁店
multiplexing    n.多路技术
multiply    vt.使增加；乘
murder    n.&vi.谋杀，凶杀
murderer    n.杀人犯，凶手
muscle    n.肌肉，肌；体力
museum    n.博物馆；展览馆
music    n.音乐，乐曲，乐谱
musical    a.音乐的；和谐的
musician    n.音乐家；作曲家
must    v.aux.必须；必然要
mutual    a.相互的；共同的
my    pron.我的
myself    pron.我自己；我亲自
mysterious    a.神秘的；难以理解的
mystery    n.神秘小说，侦探小说
myth    n.神话；虚构的故事
nail    n.钉；指甲
naked    a.裸体的；无遮敝的
name    n.名字；名誉
namely    ad.即，也就是
nap    n.小睡，打盹，瞌睡
narrow    a.狭的，狭窄的
nasty    a.龌龊的；淫猥的
nation    n.民族；国家
national    a.民族的；国家的
nationality    n.国籍；民族，族
nationalize    v.使国有化
nationwide    adj.全国性的 adv.在全国范围内
native    a.本土的
natural    a.自然界的；天然的
nature    n.大自然；本性；性质
naughty    a.顽皮的，淘气的
naval    n.海军的，军舰的
navigation    n.航行；航海术；导航
navy    n.海军
near    ad.近，接近
nearby    a.附近的
nearly    ad.差不多；密切地
neat    a.整洁的；熟练的
necessarily    ad.必然，必定
necessary    a.必要的；必然的
necessity    n.必要性；必然性
neck    n.颈，脖子
necklace    n.项链，项圈
need    vt.需要
needle    n.针，缝补，编织针
needless    a.不需要的
negative    a.负的，阴性的
neglect    vt.忽视，忽略；疏忽
negotiation    n.谈判；协商
negotiator    n.磋商者；交涉者
neighbor    n.邻居；邻国 v.邻近
neighborhood    n.邻近；邻居；附近
neighbour    n.邻居，邻国，邻人
neighbourhood    n.邻居关系；邻近
neither    a.(两者)都不的
nephew    n.侄子，外甥
nepotism    n.裙带关系；任人唯亲
nervous    a.神经的；易激动的
net    vt.用网捕；用网覆盖
network    n.网络；广播网
neutral    a.中立的；中性的
never    ad.永不，决不；不
nevertheless    conj.然而
new    a.新的；新近出现的
newly    ad.新近，最近
news    n.新闻，消息
newspaper    n.报纸，报
next    a.紧接的；贴近的
nice    a.细微的，微妙的
niece    n.侄女，外甥女
night    n.夜，夜间
nine    num.九，九个
nineteen    num.十九，十九个
nineteenth    num.第十九
ninety    num.九十，九十个
ninth    num.第九；九分之一
nitrogen    n.氮
no    ad.不；并不
noble    a.贵族的；高尚的
nobleman    n.贵族
nobody    pron.谁也不；无人
nod    vt.点(头)；点头表示
noise    n.喧闹声；响声；噪声
noisy    a.嘈杂的；喧闹的
none    pron.没有人
nonsense    n.胡说，废话
nonsmoker    n.不抽烟者
noodle    n.面条
noon    n.正午，中午
nor    conj.也不；不
normal    a.正常的，普通的
